NAME,USERNAME,CLASS,TOKEN
Faris Kahlil Haidar,11432,12 PPLG 3,1q2w3e:11432
Andi Pratama,2024001,10 PPLG 1,aB3xZ9:2024001
Budi Santoso,2024002,10 PPLG 2,mN8pL4:2024002
Citra Dewi,2024003,10 PPLG 3,xY7wQ2:2024003
Dimas Wijaya,2024004,10 TJKT 1,kR5tM6:2024004
Eka Putri,2024005,10 TJKT 2,pL9nH3:2024005
Fajar Hidayat,2024006,10 DKV 1,qW2eR8:2024006
Gita Lestari,2024007,10 DKV 2,zX4cV7:2024007
Hendra Kusuma,2024008,10 DKV 3,tY6uI1:2024008
Indah Sari,2024009,10 LK 1,oP8aS5:2024009
Joko Susilo,2024010,10 LK 2,dF3gH9:2024010
Kartika Wulan,2024011,10 PS 1,jK7lZ2:2024011
Lukman Hakim,2024012,10 PS 2,vB1nM4:2024012
Maya Anggraini,2024013,11 PPLG 1,cX6vB8:2024013
Nanda Pratama,2024014,11 PPLG 2,wE5rT3:2024014
Omar Faruk,2024015,11 PPLG 3,yU9iO7:2024015
Putri Ayu,2024016,11 TJKT 1,aS2dF6:2024016
Qori Rahman,2024017,11 TJKT 2,gH4jK1:2024017
Rina Marlina,2024018,11 DKV 1,lZ8xC5:2024018
Sandi Permana,2024019,11 DKV 2,vB3nM9:2024019
Tari Wulandari,2024020,11 DKV 3,qW7eR2:2024020
Umar Bakri,2024021,11 LK 1,tY4uI6:2024021
Vina Melati,2024022,11 LK 2,oP1aS8:2024022
Wawan Setiawan,2024023,11 PS 1,dF5gH3:2024023
Xena Kartika,2024024,11 PS 2,jK9lZ7:2024024
Yoga Pranata,2024025,12 PPLG 1,zX2cV4:2024025
Zaki Maulana,2024026,12 PPLG 2,mN6bV1:2024026
Alya Rahma,2024027,12 PPLG 3,pL8kJ5:2024027
Bagas Firmansyah,2024028,12 TJKT 1,wE3rT9:2024028
Cinta Maharani,2024029,12 TJKT 2,yU7iO2:2024029
Dani Saputra,2024030,12 DKV 1,aS6dF4:2024030
Ella Putri,2024031,12 DKV 2,gH1jK8:2024031
Faris Ramadhan,2024032,12 DKV 3,lZ5xC3:2024032
Gina Salma,2024033,12 LK 1,vB9nM7:2024033
Hadi Nugroho,2024034,12 LK 2,qW4eR1:2024034
Ira Safitri,2024035,12 PS 1,tY8uI5:2024035
Jihan Nabila,2024036,12 PS 2,oP2aS6:2024036
Kevin Ardian,2024037,10 PPLG 1,dF7gH4:2024037
Liana Sari,2024038,10 PPLG 2,jK3lZ9:2024038
Mira Kencana,2024039,10 TJKT 1,zX8cV2:2024039
Niko Wijaya,2024040,10 TJKT 2,mN1bV6:2024040
Olivia Damayanti,2024041,10 DKV 1,pL5kJ3:2024041
Pandu Saputra,2024042,11 DKV 2,wE9rT7:2024042
Qania Azzahra,2024043,11 PPLG 1,yU4iO1:2024043
Reza Pahlevi,2024044,11 PPLG 2,aS8dF5:2024044
Siti Nurhaliza,2024045,12 PPLG 3,gH2jK6:2024045
Taufik Hidayat,2024046,12 TJKT 1,lZ6xC9:2024046
Uci Rahmawati,2024047,12 DKV 1,vB4nM3:2024047
Vian Maulana,2024048,12 LK 1,qW1eR7:2024048
Wati Susilowati,2024049,11 PS 1,tY5uI2:2024049
Yanto Saputra,2024050,10 DKV 2,oP9aS8:2024050
Pak Agus Susanto,GURU001,GURU,dF4gH1:GURU001
Bu Dewi Sartika,GURU002,GURU,jK8lZ5:GURU002
Pak Budi Hartono,GURU003,GURU,zX3cV7:GURU003
Bu Citra Lestari,GURU004,GURU,mN7bV2:GURU004
Pak Eko Prasetyo,GURU005,GURU,pL2kJ6:GURU005
Bu Fitri Handayani,GURU006,GURU,wE6rT4:GURU006
Pak Gunawan Wibowo,GURU007,GURU,yU1iO8:GURU007
Bu Heni Susanti,GURU008,GURU,aS5dF3:GURU008
Pak Irfan Maulana,GURU009,GURU,gH9jK7:GURU009
Bu Jamilah Rahman,GURU010,GURU,lZ4xC2:GURU010
Pak Kukuh Santoso,GURU011,GURU,vB8nM6:GURU011
Bu Lilis Suryani,GURU012,GURU,qW3eR9:GURU012
Pak Made Wijaya,GURU013,GURU,tY7uI4:GURU013
Bu Nurlaela Sari,GURU014,GURU,oP2aS1:GURU014
Pak Oki Firmansyah,GURU015,GURU,dF6gH8:GURU015
Ahmad Fauzi,STAFF001,STAFF,jK1lZ3:STAFF001
Bambang Priyono,STAFF002,STAFF,zX5cV9:STAFF002
Diah Permata,STAFF003,STAFF,mN4bV7:STAFF003
Erna Wulandari,STAFF004,STAFF,pL8kJ2:STAFF004
Fadhil Rahman,STAFF005,STAFF,wE3rT6:STAFF005
