NAME,USERNAME,CLASS
Andi Pratama,2024001,10 PPLG 1
Budi Santoso,2024002,10 PPLG 2
Citra Dewi,2024003,10 PPLG 3
Dimas Wijaya,2024004,10 TJKT 1
Eka Putri,2024005,10 TJKT 2
Fajar Hidayat,2024006,10 DKV 1
Gita Lestari,2024007,10 DKV 2
Hendra Kusuma,2024008,10 DKV 3
Indah Sari,2024009,10 LK 1
Joko Susilo,2024010,10 LK 2
Kartika Wulan,2024011,10 PS 1
Lukman Hakim,2024012,10 PS 2
Maya Anggraini,2024013,11 PPLG 1
Nanda Pratama,2024014,11 PPLG 2
Omar Faruk,2024015,11 PPLG 3
Putri Ayu,2024016,11 TJKT 1
Qori Rahman,2024017,11 TJKT 2
Rina Marlina,2024018,11 DKV 1
Sandi Permana,2024019,11 DKV 2
Tari Wulandari,2024020,11 DKV 3
Umar Bakri,2024021,11 LK 1
Vina Melati,2024022,11 LK 2
Wawan Setiawan,2024023,11 PS 1
Xena Kartika,2024024,11 PS 2
Yoga Pranata,2024025,12 PPLG 1
Zaki Maulana,2024026,12 PPLG 2
Alya Rahma,2024027,12 PPLG 3
Bagas Firmansyah,2024028,12 TJKT 1
Cinta Maharani,2024029,12 TJKT 2
Dani Saputra,2024030,12 DKV 1
Ella Putri,2024031,12 DKV 2
Faris Ramadhan,2024032,12 DKV 3
Gina Salma,2024033,12 LK 1
Hadi Nugroho,2024034,12 LK 2
Ira Safitri,2024035,12 PS 1
Jihan Nabila,2024036,12 PS 2
Kevin Ardian,2024037,10 PPLG 1
Liana Sari,2024038,10 PPLG 2
Mira Kencana,2024039,10 TJKT 1
Niko Wijaya,2024040,10 TJKT 2
Olivia Damayanti,2024041,10 DKV 1
Pandu Saputra,2024042,11 DKV 2
Qania Azzahra,2024043,11 PPLG 1
Reza Pahlevi,2024044,11 PPLG 2
Siti Nurhaliza,2024045,12 PPLG 3
Taufik Hidayat,2024046,12 TJKT 1
Uci Rahmawati,2024047,12 DKV 1
Vian Maulana,2024048,12 LK 1
Wati Susilowati,2024049,11 PS 1
Yanto Saputra,2024050,10 DKV 2
Pak Agus Susanto,GURU001,GURU
Bu Dewi Sartika,GURU002,GURU
Pak Budi Hartono,GURU003,GURU
Bu Citra Lestari,GURU004,GURU
Pak Eko Prasetyo,GURU005,GURU
Bu Fitri Handayani,GURU006,GURU
Pak Gunawan Wibowo,GURU007,GURU
Bu Heni Susanti,GURU008,GURU
Pak Irfan Maulana,GURU009,GURU
Bu Jamilah Rahman,GURU010,GURU
Pak Kukuh Santoso,GURU011,GURU
Bu Lilis Suryani,GURU012,GURU
Pak Made Wijaya,GURU013,GURU
Bu Nurlaela Sari,GURU014,GURU
Pak Oki Firmansyah,GURU015,GURU
Ahmad Fauzi,STAFF001,STAFF
Bambang Priyono,STAFF002,STAFF
Diah Permata,STAFF003,STAFF
Erna Wulandari,STAFF004,STAFF
Fadhil Rahman,STAFF005,STAFF
